wl,n,k
0.31,1.628364,1e-10
0.32,1.627455,1e-10
0.33,1.626545,1e-10
0.34,1.625636,1e-10
0.35,1.624727,1e-10
0.36,1.623818,1e-10
0.37,1.622909,1e-10
0.38,1.622,1e-10
0.39,1.621091,1e-10
0.4,1.620182,1e-10
0.41,1.619273,1e-10
0.42,1.618222,1e-10
0.43,1.617111,1e-10
0.44,1.616182,1e-10
0.45,1.6145,1e-10
0.46,1.612889,1e-10
0.47,1.612333,1e-10
0.48,1.611478,1e-10
0.49,1.610174,1e-10
0.5,1.60896,1e-10
0.51,1.60856,1e-10
0.52,1.60816,1e-10
0.53,1.607442,1e-10
0.54,1.606512,1e-10
0.55,1.605581,1e-10
0.56,1.604651,1e-10
0.57,1.6039,1e-10
0.58,1.603567,1e-10
0.59,1.603233,1e-10
0.6,1.602778,1e-10
0.61,1.602037,1e-10
0.62,1.601296,1e-10
0.63,1.600707,1e-10
0.64,1.600219,1e-10
0.65,1.599732,1e-10
0.66,1.599244,1e-10
0.67,1.598767,1e-10
0.68,1.598302,1e-10
0.69,1.597837,1e-10
0.7,1.597372,1e-10
0.71,1.596941,1e-10
0.72,1.596647,1e-10
0.73,1.596353,1e-10
0.74,1.596059,1e-10
0.75,1.59568,1e-10
0.76,1.59528,1e-10
0.77,1.59488,1e-10
0.78,1.59448,1e-10
0.79,1.59408,1e-10
0.8,1.593644,1e-10
0.81,1.5932,1e-10
0.82,1.592756,1e-10
0.83,1.592311,1e-10
0.84,1.591875,1e-10
0.85,1.591458,1e-10
0.86,1.591042,1e-10
0.87,1.590625,1e-10
0.88,1.590208,1e-10
0.89,1.5898,1e-10
0.9,1.5894,1e-10
0.91,1.589,1e-10
0.92,1.5886,1e-10
0.93,1.5882,1e-10
0.94,1.587868,1e-10
0.95,1.587605,1e-10
0.96,1.587342,1e-10
0.97,1.587079,1e-10
0.98,1.586854,1e-10
0.99,1.586646,1e-10
1.0,1.586437,1e-10
1.01,1.586229,1e-10
1.02,1.586021,1e-10
1.03,1.58564,1e-10
1.04,1.58524,1e-10
1.05,1.58484,1e-10
1.06,1.58444,1e-10
1.07,1.58404,1e-10
1.08,1.5838,1e-10
1.09,1.583578,1e-10
1.1,1.583356,1e-10
1.11,1.583133,1e-10
1.12,1.583,1e-10
1.13,1.583,1e-10
1.14,1.583,1e-10
1.15,1.582902,1e-10
1.16,1.582658,1e-10
1.17,1.582415,1e-10
1.18,1.582171,1e-10
1.19,1.581912,1e-10
1.2,1.581618,1e-10
1.21,1.581324,1e-10
1.22,1.581029,1e-10
1.23,1.581,1e-10
1.24,1.581,1e-10
1.25,1.580926,1e-10
1.26,1.580556,1e-10
1.27,1.580185,1e-10
1.28,1.58,1e-10
1.29,1.58,1e-10
1.3,1.579933,1e-10
1.31,1.5796,1e-10
1.32,1.579267,1e-10
1.33,1.579,1e-10
1.34,1.579,1e-10
1.35,1.579,1e-10
1.36,1.579,1e-10
1.37,1.579,1e-10
1.38,1.579,1e-10
1.39,1.579,1e-10
1.4,1.578822,1e-10
1.41,1.578378,1e-10
1.42,1.577933,1e-10
1.43,1.577489,1e-10
1.44,1.577044,1e-10
1.45,1.577,1e-10
1.46,1.577,1e-10
1.47,1.577,1e-10
1.48,1.577,1e-10
1.49,1.577,1e-10
1.5,1.577,1e-10
1.51,1.577,1e-10
1.52,1.577,1e-10
1.53,1.577,1e-10
1.54,1.577,1e-10
1.55,1.577,1e-10
1.56,1.576967,1e-10
1.57,1.576633,1e-10
1.58,1.5763,1e-10
1.59,1.575971,1e-10
1.6,1.575676,1e-10
1.61,1.575382,1e-10
1.62,1.575088,1e-10
1.63,1.575194,1e-10
1.64,1.575472,1e-10
1.65,1.57575,1e-10
1.66,1.576,1e-10
1.67,1.576,1e-10
1.68,1.576,1e-10
1.69,1.575972,1e-10
1.7,1.575694,1e-10
1.71,1.575417,1e-10
1.72,1.575139,1e-10
1.73,1.575,1e-10
1.74,1.575,1e-10
1.75,1.575,1e-10
1.76,1.575,1e-10
1.77,1.574829,1e-10
1.78,1.574585,1e-10
1.79,1.574342,1e-10
1.8,1.574098,1e-10
1.81,1.574,1e-10
1.82,1.574,1e-10
1.83,1.574,1e-10
1.84,1.574,1e-10
1.85,1.574,1e-10
1.86,1.574,1e-10
1.87,1.574,1e-10
1.88,1.574,1e-10
1.89,1.574,1e-10
1.9,1.574,1e-10
1.91,1.574,1e-10
1.92,1.57372,1e-10
1.93,1.57332,1e-10
1.94,1.573,1e-10
1.95,1.573,1e-10
1.96,1.573,1e-10
1.97,1.573,1e-10
1.98,1.572756,1e-10
1.99,1.572512,1e-10
2.0,1.572268,1e-10
5.0,1.4792130000000001,0.008450439
5.02,1.4792130000000001,0.008450439
5.04,1.4792130000000001,0.008450439
5.06,1.4792130000000001,0.008450439
5.08,1.4792130000000001,0.008450439
5.1,1.4792130000000001,0.008450439
5.12,1.478954,0.00845192
5.14,1.478563,0.008454157
5.16,1.478171,0.008456395
5.18,1.47778,0.008458635
5.2,1.477388,0.008460877
