wl,n,k
0.31,2.238172,1.605453e-05
0.32,2.225585,1.220449e-05
0.33,2.214469,9.76026e-06
0.34,2.204592,7.316034e-06
0.35,2.195767,5.498351e-06
0.36,2.187844,3.785068e-06
0.37,2.180697,3.011393e-06
0.38,2.174225,2.237718e-06
0.39,2.16834,1.698183e-06
0.4,2.162971,1.158648e-06
0.41,2.158057,9.62012e-07
0.42,2.153546,7.653761e-07
0.43,2.149393,6.277867e-07
0.44,2.145559,4.901972e-07
0.45,2.142012,4.136296e-07
0.46,2.138722,3.315961e-07
0.47,2.135664,2.368088e-07
0.48,2.132816,1.451493e-07
0.49,2.130159,1.445773e-07
0.5,2.127674,1.440053e-07
0.51,2.125347,1.434332e-07
0.52,2.123163,1.428612e-07
0.53,2.121112,1.422892e-07
0.54,2.119181,1.417172e-07
0.55,2.117362,1.411452e-07
0.56,2.115645,1.405731e-07
0.57,2.114022,1.400011e-07
0.58,2.112486,1.394291e-07
0.59,2.111032,1.388571e-07
0.6,2.109651,1.382851e-07
0.61,2.108341,1.37713e-07
0.62,2.107095,1.37141e-07
0.63,2.105909,1.36569e-07
0.64,2.104779,1.35997e-07
0.65,2.103701,1.354249e-07
0.66,2.102672,1.348529e-07
0.67,2.101689,1.342809e-07
0.68,2.100749,1.337089e-07
0.69,2.099848,1.331369e-07
0.7,2.098986,1.325648e-07
0.71,2.098158,1.319928e-07
0.72,2.097364,1.314208e-07
0.73,2.096601,1.308488e-07
0.74,2.095868,1.302768e-07
0.75,2.095162,1.297047e-07
0.76,2.094482,1.291327e-07
0.77,2.093828,1.285607e-07
0.78,2.093196,1.279887e-07
0.79,2.092587,1.274167e-07
0.8,2.091998,1.268446e-07
0.81,2.091429,1.262726e-07
0.82,2.090879,1.257006e-07
0.83,2.090347,1.251286e-07
0.84,2.089831,1.245566e-07
0.85,2.089332,1.239845e-07
0.86,2.088847,1.234125e-07
0.87,2.088377,1.228405e-07
0.88,2.087921,1.222685e-07
0.89,2.087478,1.216964e-07
0.9,2.087047,1.211244e-07
0.91,2.086628,1.205524e-07
0.92,2.086221,1.199804e-07
0.93,2.085824,1.194084e-07
0.94,2.085437,1.188363e-07
0.95,2.08506,1.182643e-07
0.96,2.084692,1.176923e-07
0.97,2.084333,1.171203e-07
0.98,2.083982,1.165482e-07
0.99,2.08364,1.159762e-07
1.0,2.083305,1.154042e-07
1.01,2.082978,1.148322e-07
1.02,2.082658,1.142602e-07
1.03,2.082345,1.136881e-07
1.04,2.082038,1.131161e-07
1.05,2.081737,1.125441e-07
1.06,2.081442,1.119721e-07
1.07,2.081153,1.114001e-07
1.08,2.080869,1.10828e-07
1.09,2.08059,1.10256e-07
1.1,2.080317,1.09684e-07
1.11,2.080048,1.09112e-07
1.12,2.079783,1.0854e-07
1.13,2.079523,1.079679e-07
1.14,2.079268,1.073959e-07
1.15,2.079016,1.068239e-07
1.16,2.078768,1.062519e-07
1.17,2.078524,1.056799e-07
1.18,2.078283,1.051078e-07
1.19,2.078046,1.045358e-07
1.2,2.077812,1.039638e-07
1.21,2.077581,1.033918e-07
1.22,2.077353,1.028197e-07
1.23,2.077128,1.022477e-07
1.24,2.076906,1.016757e-07
1.25,2.076686,1.011037e-07
1.26,2.076469,1.005317e-07
1.27,2.076254,9.995964e-08
1.28,2.076042,9.938762e-08
1.29,2.075832,9.88156e-08
1.3,2.075624,9.824358e-08
1.31,2.075418,9.767156e-08
1.32,2.075214,9.709954e-08
1.33,2.075012,9.652752e-08
1.34,2.074812,9.59555e-08
1.35,2.074613,9.538348e-08
1.36,2.074416,9.481145e-08
1.37,2.074221,9.423943e-08
1.38,2.074027,9.366741e-08
1.39,2.073835,9.309539e-08
1.4,2.073644,9.252337e-08
1.41,2.073455,9.195135e-08
1.42,2.073266,9.137933e-08
1.43,2.073079,9.080731e-08
1.44,2.072894,9.023529e-08
1.45,2.072709,8.966326e-08
1.46,2.072525,8.909124e-08
1.47,2.072342,8.851922e-08
1.48,2.072161,8.79472e-08
1.49,2.07198,8.737518e-08
1.5,2.0718,8.680316e-08
1.51,2.071621,8.623114e-08
1.52,2.071443,8.565912e-08
1.53,2.071265,8.50871e-08
1.54,2.071089,8.451507e-08
1.55,2.070912,8.394305e-08
1.56,2.070737,8.337103e-08
1.57,2.070562,8.279901e-08
1.58,2.070388,8.222699e-08
1.59,2.070214,8.165497e-08
1.6,2.070041,8.108295e-08
1.61,2.069868,8.051093e-08
1.62,2.069696,7.993891e-08
1.63,2.069524,7.936689e-08
1.64,2.069352,7.879486e-08
1.65,2.069181,7.822284e-08
1.66,2.069011,7.765082e-08
1.67,2.06884,7.70788e-08
1.68,2.06867,7.650678e-08
1.69,2.0685,7.593476e-08
1.7,2.06833,7.536274e-08
1.71,2.068161,7.479072e-08
1.72,2.067992,7.42187e-08
1.73,2.067822,7.364667e-08
1.74,2.067654,7.307465e-08
1.75,2.067485,7.250263e-08
1.76,2.067316,7.193061e-08
1.77,2.067147,7.135859e-08
1.78,2.066979,7.078657e-08
1.79,2.06681,7.021455e-08
1.8,2.066642,6.964253e-08
1.81,2.066474,6.907051e-08
1.82,2.066305,6.849849e-08
1.83,2.066137,6.792646e-08
1.84,2.065968,6.735444e-08
1.85,2.0658,6.678242e-08
1.86,2.065631,6.62104e-08
1.87,2.065463,6.563838e-08
1.88,2.065294,6.506636e-08
1.89,2.065125,6.449434e-08
1.9,2.064957,6.392232e-08
1.91,2.064787,6.33503e-08
1.92,2.064618,6.277827e-08
1.93,2.064449,6.220625e-08
1.94,2.06428,6.163423e-08
1.95,2.06411,6.106221e-08
1.96,2.06394,6.049019e-08
1.97,2.06377,5.991817e-08
1.98,2.0636,5.934615e-08
1.99,2.063429,5.877413e-08
2.0,2.063259,5.820211e-08
2.01,2.063088,5.763008e-08
2.02,2.062917,5.705806e-08
2.03,2.062745,5.648604e-08
2.04,2.062574,5.591402e-08
2.05,2.062402,5.5342e-08
2.06,2.06223,5.476998e-08
2.07,2.062057,5.419796e-08
2.08,2.061884,5.362594e-08
2.09,2.061711,5.305392e-08
2.1,2.061538,5.24819e-08
2.11,2.061364,5.190988e-08
2.12,2.06119,5.133785e-08
2.13,2.061015,5.076583e-08
2.14,2.06084,5.019381e-08
2.15,2.060665,4.962179e-08
2.16,2.06049,4.904977e-08
2.17,2.060314,4.847775e-08
2.18,2.060138,4.790573e-08
2.19,2.059961,4.733371e-08
2.2,2.059784,4.676169e-08
2.21,2.059606,4.618966e-08
2.22,2.059428,4.561764e-08
2.23,2.05925,4.504562e-08
2.24,2.059071,4.44736e-08
2.25,2.058892,4.390158e-08
2.26,2.058713,4.332956e-08
2.27,2.058533,4.275754e-08
2.28,2.058352,4.218552e-08
2.29,2.058171,4.16135e-08
2.3,2.05799,4.104147e-08
2.31,2.057808,4.046945e-08
2.32,2.057626,3.989743e-08
2.33,2.057443,3.932541e-08
2.34,2.05726,3.875339e-08
2.35,2.057076,3.818137e-08
2.36,2.056892,3.760935e-08
2.37,2.056708,3.703733e-08
2.38,2.056522,3.646531e-08
2.39,2.056337,3.589328e-08
2.4,2.056151,3.532126e-08
2.41,2.055964,3.474924e-08
2.42,2.055777,3.417722e-08
2.43,2.055589,3.36052e-08
2.44,2.055401,3.303318e-08
2.45,2.055212,3.246116e-08
2.46,2.055023,3.188914e-08
2.47,2.054833,3.131712e-08
2.48,2.054643,3.07451e-08
2.49,2.054452,3.017307e-08
2.5,2.054261,2.960105e-08
2.51,2.054069,2.902903e-08
2.52,2.053876,2.845701e-08
2.53,2.053683,2.788499e-08
2.54,2.05349,2.731297e-08
2.55,2.053296,2.674095e-08
2.56,2.053101,2.616893e-08
2.57,2.052906,2.559691e-08
2.58,2.05271,2.502489e-08
2.59,2.052514,2.445286e-08
2.6,2.052317,2.388084e-08
2.61,2.052119,2.330882e-08
2.62,2.051921,2.27368e-08
2.63,2.051722,2.216478e-08
2.64,2.051523,2.159276e-08
2.65,2.051323,2.102074e-08
2.66,2.051123,2.044872e-08
2.67,2.050921,1.987669e-08
2.68,2.05072,1.930467e-08
2.69,2.050518,1.873265e-08
2.7,2.050315,1.816063e-08
2.71,2.050111,1.758861e-08
2.72,2.049907,1.701659e-08
2.73,2.049702,1.644457e-08
2.74,2.049497,1.587255e-08
2.75,2.049291,1.530053e-08
2.76,2.049085,1.472851e-08
2.77,2.048877,1.415648e-08
2.78,2.048669,1.358446e-08
2.79,2.048461,1.301244e-08
2.8,2.048252,1.244042e-08
2.81,2.048042,1.18684e-08
2.82,2.047832,1.129638e-08
2.83,2.047621,1.072436e-08
2.84,2.047409,1.015234e-08
2.85,2.047197,9.580316e-09
2.86,2.046984,9.008295e-09
2.87,2.046771,8.436274e-09
2.88,2.046556,7.864253e-09
2.89,2.046342,7.292232e-09
2.9,2.046126,6.720211e-09
2.91,2.04591,6.14819e-09
2.92,2.045693,5.576168e-09
2.93,2.045476,5.004147e-09
2.94,2.045258,4.432126e-09
2.95,2.045039,3.860105e-09
2.96,2.044819,3.288084e-09
2.97,2.044599,2.716063e-09
2.98,2.044379,2.144042e-09
2.99,2.044157,1.572021e-09
3.0,2.043935,1e-09
3.01,2.043712,7.160613e-09
3.02,2.043489,1.332123e-08
3.03,2.043264,1.948184e-08
3.04,2.04304,2.564245e-08
3.05,2.042814,3.180307e-08
3.06,2.042588,3.796368e-08
3.07,2.042361,4.412429e-08
3.08,2.042134,5.028491e-08
3.09,2.041905,5.644552e-08
3.1,2.041676,6.260613e-08
3.11,2.041447,6.876675e-08
3.12,2.041216,7.492736e-08
3.13,2.040985,8.108797e-08
3.14,2.040754,8.724859e-08
3.15,2.040521,9.34092e-08
3.16,2.040288,9.956981e-08
3.17,2.040054,1.057304e-07
3.18,2.03982,1.11891e-07
3.19,2.039585,1.180517e-07
3.2,2.039349,1.242123e-07
3.21,2.039112,1.303729e-07
3.22,2.038875,1.365335e-07
3.23,2.038637,1.426941e-07
3.24,2.038398,1.488547e-07
3.25,2.038159,1.550153e-07
3.26,2.037918,1.611759e-07
3.27,2.037677,1.673366e-07
3.28,2.037436,1.734972e-07
3.29,2.037193,1.796578e-07
3.3,2.03695,1.858184e-07
3.31,2.036707,1.91979e-07
3.32,2.036462,1.981396e-07
3.33,2.036217,2.043002e-07
3.34,2.035971,2.104609e-07
3.35,2.035724,2.166215e-07
