wl,n,k
0.21,1.41754,1e-08
0.22,1.41291,1e-08
0.23,1.409,1e-08
0.24,1.40567,1e-08
0.25,1.4028,1e-08
0.26,1.4003,1e-08
0.27,1.39812,1e-08
0.28,1.3962,1e-08
0.29,1.3945,1e-08
0.3,1.39298,1e-08
0.31,1.39162,1e-08
0.32,1.3904,1e-08
0.33,1.3893,1e-08
0.34,1.3883,1e-08
0.35,1.38739,1e-08
0.36,1.38656,1e-08
0.37,1.3858,1e-08
0.38,1.3851,1e-08
0.39,1.38446,1e-08
0.4,1.38387,1e-08
0.42,1.38281,1e-08
0.44,1.38189,1e-08
0.46,1.3811,1e-08
0.48,1.3804,1e-08
0.5,1.37978,1e-08
0.52,1.37923,1e-08
0.54,1.37873,1e-08
0.56,1.37829,1e-08
0.58,1.37789,1e-08
0.6,1.37752,1e-08
0.62,1.37718,1e-08
0.64,1.37688,1e-08
0.66,1.37659,1e-08
0.68,1.37633,1e-08
0.7,1.37608,1e-08
0.72,1.37585,1e-08
0.74,1.37563,1e-08
0.76,1.37543,1e-08
0.78,1.37524,1e-08
0.8,1.37506,1e-08
0.82,1.37488,1e-08
0.84,1.37472,1e-08
0.86,1.37456,1e-08
0.88,1.3744,1e-08
0.9,1.37426,1e-08
0.92,1.37411,1e-08
0.94,1.37398,1e-08
0.96,1.37384,1e-08
0.98,1.37371,1e-08
1.0,1.37358,1e-08
1.0204,1.37346,1e-08
1.0417,1.37333,1e-08
1.0638,1.37319,1e-08
1.087,1.37306,1e-08
1.1111,1.37292,1e-08
1.1364,1.37277,1e-08
1.1628,1.37263,1e-08
1.1905,1.37247,1e-08
1.2195,1.37231,1e-08
1.25,1.37215,1e-08
1.2821,1.37197,1e-08
1.3158,1.37179,1e-08
1.3514,1.3716,1e-08
1.3889,1.3714,1e-08
1.4286,1.37118,1e-08
1.4706,1.37096,1e-08
1.5152,1.37071,1e-08
1.5625,1.37045,1e-08
1.6129,1.37017,1e-08
1.6667,1.36986,1e-08
1.7241,1.36953,1e-08
1.7857,1.36917,1e-08
1.8519,1.36877,1e-08
1.9231,1.36833,1e-08
2.0,1.36784,1e-08
2.0408,1.36757,1e-08
2.0833,1.36729,1e-08
2.1277,1.36699,1e-08
2.1739,1.36667,1e-08
2.2222,1.36633,1e-08
2.2727,1.36597,1e-08
2.3256,1.36559,1e-08
2.381,1.36518,1e-08
2.439,1.36474,1e-08
2.5,1.36426,1e-08
2.5641,1.36375,1e-08
2.6316,1.3632,1e-08
2.7027,1.36261,1e-08
2.7778,1.36196,1e-08
2.8571,1.36126,1e-08
2.9412,1.36049,1e-08
3.0303,1.35966,1e-08
3.125,1.35874,1e-08
3.2258,1.35773,1e-08
3.3333,1.35662,1e-08
3.4483,1.35539,1e-08
3.5714,1.35402,1e-08
3.7037,1.35249,1e-08
3.8462,1.35077,1e-08
4.0,1.34883,1e-08
4.1667,1.34663,1e-08
4.3478,1.34412,1e-08
4.5455,1.34125,1e-08
4.7619,1.33792,1e-08
5.0,1.33404,4.2e-07
5.1282,1.33186,6e-07
5.2632,1.32948,8.5e-07
5.4054,1.32689,1.2e-06
5.5556,1.32406,1.7e-06
5.7143,1.32096,2.5e-06
5.8824,1.31754,3.6e-06
6.0606,1.31378,5.1e-06
6.25,1.30961,7.4e-06
6.4516,1.30497,1.1e-05
6.6667,1.29978,1.6e-05
6.8966,1.29396,2.4e-05
7.1429,1.2874,3.7e-05
7.4074,1.281,5.7e-05
7.6923,1.273,8.6e-05
8.0,1.264,0.00013
8.3333,1.252,0.00019
8.6957,1.24,0.00028
9.0909,1.224,0.00044
9.5238,1.206,0.00071
10.0,1.18,0.0012
10.204,1.17,0.0015
10.417,1.16,0.0019
10.638,1.15,0.0024
10.87,1.14,0.003
11.111,1.12,0.0037
11.364,1.11,0.0046
11.628,1.09,0.0057
11.905,1.07,0.0069
12.195,1.04,0.0084
12.5,1.02,0.01
12.821,0.99,0.012
13.158,0.95,0.015
13.514,0.91,0.018
13.889,0.86,0.022
14.286,0.79,0.029
14.706,0.71,0.041
15.152,0.61,0.062
15.625,0.47,0.11
16.129,0.28,0.24
16.667,0.17,0.5
17.241,0.14,0.73
17.857,0.14,0.96
18.519,0.14,1.2
19.231,0.15,1.5
20.0,0.17,1.9
20.408,0.21,2.2
20.833,0.27,2.5
21.277,0.42,3.1
21.739,0.86,4.0
22.222,3.11,5.3
22.727,4.97,1.8
23.256,3.58,0.68
23.81,2.59,0.58
24.39,2.7,2.2
25.0,3.3,0.39
25.641,2.74,0.17
26.316,2.43,0.12
27.027,2.21,0.091
27.778,2.02,0.078
28.571,1.84,0.07
29.412,1.66,0.068
30.303,1.46,0.071
31.25,1.2,0.083
32.258,0.81,0.13
33.333,0.18,0.64
34.483,0.11,1.3
35.714,0.11,2.0
37.037,0.15,2.8
38.462,0.32,4.3
40.0,3.25,9.9
41.667,6.19,0.49
43.478,4.43,0.14
45.455,3.76,0.072
47.619,3.4,0.045
50.0,3.16,0.032
52.632,2.99,0.024
55.556,2.87,0.019
58.824,2.78,0.015
62.5,2.7,0.013
66.667,2.64,0.011
71.429,2.59,0.0093
76.923,2.54,0.008
83.333,2.51,0.007
90.909,2.48,0.0061
100.0,2.45,0.0052
111.11,2.43,0.0045
125.0,2.41,0.0039
142.86,2.39,0.0033
166.67,2.38,0.0028
200.0,2.37,0.0023
250.0,2.36,0.0018
333.33,2.35,0.0013
