wl,n,k
0.32,2.588023,6.289239e-08
0.34,2.58797,7.54512e-08
0.36,2.587914,8.958247e-08
0.38,2.587854,1.053798e-07
0.4,2.587791,1.22937e-07
0.42,2.587725,1.42348e-07
0.44,2.587656,1.637071e-07
0.46,2.587583,1.871087e-07
0.48,2.587507,2.126473e-07
0.5,2.587428,2.40418e-07
0.52,2.587346,2.705158e-07
0.54,2.58726,3.030362e-07
0.56,2.587171,3.380749e-07
0.58,2.587079,3.757278e-07
0.6,2.586984,4.160913e-07
0.62,2.586885,4.592619e-07
0.64,2.586783,5.053365e-07
0.66,2.586678,5.544124e-07
0.68,2.586569,6.065872e-07
0.7,2.586457,6.619587e-07
0.72,2.586342,7.206254e-07
0.74,2.586224,7.826859e-07
0.76,2.586102,8.482392e-07
0.78,2.585977,9.17385e-07
0.8,2.585849,9.90223e-07
0.82,2.585717,1.066853e-06
0.84,2.585583,1.147377e-06
0.86,2.585444,1.231896e-06
0.88,2.585303,1.32051e-06
0.9,2.585158,1.413323e-06
0.92,2.58501,1.510437e-06
0.94,2.584858,1.611955e-06
0.96,2.584703,1.717981e-06
0.98,2.584545,1.828618e-06
1.0,2.584384,1.943973e-06
1.02,2.584219,2.064149e-06
1.04,2.58405,2.189252e-06
1.06,2.583879,2.31939e-06
1.08,2.583704,2.454669e-06
1.1,2.583525,2.595196e-06
1.12,2.583343,2.74108e-06
1.14,2.583158,2.892429e-06
1.16,2.58297,3.049353e-06
1.18,2.582778,3.211963e-06
1.2,2.582582,3.380368e-06
1.22,2.582383,3.554681e-06
1.24,2.582181,3.735013e-06
1.26,2.581975,3.921478e-06
1.28,2.581766,4.114188e-06
1.3,2.581554,4.313259e-06
1.32,2.581338,4.518805e-06
1.34,2.581118,4.730942e-06
1.36,2.580895,4.949787e-06
1.38,2.580669,5.175457e-06
1.4,2.580439,5.408071e-06
1.42,2.580205,5.647748e-06
1.44,2.579968,5.894607e-06
1.46,2.579728,6.148769e-06
1.48,2.579484,6.410356e-06
1.5,2.579236,6.679491e-06
1.52,2.578985,6.956296e-06
1.54,2.578731,7.240897e-06
1.56,2.578472,7.533419e-06
1.58,2.578211,7.833988e-06
1.6,2.577945,8.14273e-06
1.62,2.577676,8.459775e-06
1.64,2.577404,8.785253e-06
1.66,2.577128,9.119291e-06
1.68,2.576848,9.462024e-06
1.7,2.576565,9.813582e-06
1.72,2.576278,1.01741e-05
1.74,2.575987,1.054371e-05
1.76,2.575693,1.092255e-05
1.78,2.575395,1.131076e-05
1.8,2.575093,1.170847e-05
1.82,2.574788,1.211582e-05
1.84,2.574479,1.253296e-05
1.86,2.574166,1.296002e-05
1.88,2.57385,1.339716e-05
1.9,2.57353,1.38445e-05
1.92,2.573206,1.43022e-05
1.94,2.572878,1.477041e-05
1.96,2.572547,1.524927e-05
1.98,2.572211,1.573893e-05
2.0,2.571872,1.623954e-05
2.02,2.57153,1.675125e-05
2.04,2.571183,1.727422e-05
2.06,2.570832,1.780861e-05
2.08,2.570478,1.835456e-05
2.1,2.57012,1.891225e-05
2.12,2.569758,1.948181e-05
2.14,2.569392,2.006342e-05
2.16,2.569022,2.065724e-05
2.18,2.568648,2.126344e-05
2.2,2.568271,2.188217e-05
2.22,2.567889,2.251361e-05
2.24,2.567503,2.315792e-05
2.26,2.567114,2.381528e-05
2.28,2.56672,2.448585e-05
2.3,2.566323,2.516981e-05
2.32,2.565921,2.586734e-05
2.34,2.565516,2.657862e-05
2.36,2.565106,2.730381e-05
2.38,2.564692,2.804311e-05
2.4,2.564274,2.87967e-05
2.42,2.563852,2.956475e-05
2.44,2.563426,3.034747e-05
2.46,2.562996,3.114503e-05
2.48,2.562562,3.195763e-05
2.5,2.562124,3.278546e-05
2.52,2.561681,3.362871e-05
2.54,2.561234,3.448758e-05
2.56,2.560783,3.536227e-05
2.58,2.560328,3.625299e-05
2.6,2.559869,3.715993e-05
2.62,2.559405,3.808329e-05
2.64,2.558937,3.90233e-05
2.66,2.558464,3.998015e-05
2.68,2.557988,4.095406e-05
2.7,2.557507,4.194524e-05
2.72,2.557021,4.295391e-05
2.74,2.556532,4.39803e-05
2.76,2.556037,4.502461e-05
