wl,n,k
0.2917,2.167,1e-06
0.31,2.141,1e-06
0.3542,2.099,1e-06
0.4133,2.066,1e-06
0.4959,2.041,1e-06
0.6199,2.022,1e-06
0.8266,2.008,1e-06
1.24,1.998,1e-06
1.25,1.998,1e-06
1.26,1.998,1e-06
1.27,1.998,1e-06
3.0,1.846913,0.002264497
3.02,1.846368,0.00238555
3.04,1.845818,0.002508465
3.06,1.845263,0.002633003
3.08,1.844703,0.002758922
3.1,1.844137,0.002885978
3.12,1.843567,0.003013925
3.14,1.842991,0.003142519
3.16,1.84241,0.003271516
3.18,1.841824,0.003400676
3.2,1.841233,0.00352976
3.22,1.840636,0.003658538
3.24,1.840034,0.003786781
3.26,1.839426,0.003914271
3.28,1.838813,0.004040794
3.3,1.838195,0.004166146
3.32,1.837571,0.00429013
3.34,1.836941,0.004412559
3.36,1.836306,0.004533254
3.38,1.835665,0.004652047
3.4,1.835019,0.004768781
3.42,1.834366,0.004883307
3.44,1.833708,0.004995488
3.46,1.833044,0.005105197
3.48,1.832374,0.005212316
3.5,1.831698,0.005316741
3.52,1.831016,0.005418373
3.54,1.830329,0.005517129
3.56,1.829635,0.005612932
3.58,1.828934,0.005705717
3.6,1.828228,0.005795426
3.62,1.827516,0.005882013
3.64,1.826797,0.00596544
3.66,1.826072,0.006045677
3.68,1.82534,0.006122703
3.7,1.824602,0.006196505
3.72,1.823858,0.006267078
3.74,1.823107,0.006334424
3.76,1.822349,0.00639855
3.78,1.821584,0.006459473
3.8,1.820813,0.006517214
3.82,1.820035,0.0065718
3.84,1.819251,0.006623262
3.86,1.818459,0.00667164
3.88,1.81766,0.006716975
3.9,1.816855,0.006759313
3.92,1.816042,0.006798706
3.94,1.815222,0.006835206
3.96,1.814395,0.006868873
3.98,1.81356,0.006899765
4.0,1.812718,0.006927946
4.02,1.811869,0.006953481
4.04,1.811012,0.006976439
4.06,1.810148,0.006996887
4.08,1.809276,0.007014898
4.1,1.808396,0.007030544
4.12,1.807508,0.007043898
4.14,1.806613,0.007055034
4.16,1.805709,0.007064028
4.18,1.804798,0.007070954
4.2,1.803878,0.00707589
4.22,1.80295,0.00707891
4.24,1.802014,0.007080092
4.26,1.80107,0.00707951
4.28,1.800117,0.00707724
4.3,1.799155,0.007073358
4.32,1.798185,0.007067938
4.34,1.797207,0.007061055
4.36,1.796219,0.007052782
4.38,1.795223,0.00704319
4.4,1.794217,0.007032353
4.42,1.793203,0.007020341
4.44,1.792179,0.007007223
4.46,1.791146,0.006993068
