wl,n,k
0.201,1.73696,0.8644391
0.202,1.73435,0.880019
0.203,1.73219,0.8957711
0.204,1.73049,0.911687
0.205,1.72926,0.9277583
0.206,1.7285,0.9439767
0.207,1.72821,0.9603338
0.208,1.72839,0.9768208
0.209,1.72905,0.9934289
0.21,1.7302,1.010149
0.211,1.73183,1.026973
0.212,1.73395,1.04389
0.213,1.73656,1.060893
0.214,1.73967,1.077972
0.215,1.74328,1.095117
0.216,1.74739,1.112319
0.217,1.75201,1.129569
0.218,1.75714,1.146857
0.219,1.76278,1.164174
0.22,1.76894,1.181509
0.221,1.77562,1.198854
0.222,1.78283,1.216196
0.223,1.79056,1.233528
0.224,1.79883,1.250837
0.225,1.80763,1.268113
0.226,1.81697,1.285346
0.227,1.82685,1.302523
0.228,1.83729,1.319634
0.229,1.84827,1.336667
0.23,1.85982,1.353609
0.231,1.87193,1.370447
0.232,1.8846,1.387169
0.233,1.89785,1.403759
0.234,1.91167,1.420205
0.235,1.92608,1.436491
0.236,1.94107,1.452602
0.237,1.95665,1.468521
0.238,1.97283,1.484232
0.239,1.98961,1.499715
0.24,2.00699,1.514954
0.241,2.02498,1.529929
0.242,2.04358,1.544618
0.243,2.0628,1.559001
0.244,2.08264,1.573055
0.245,2.1031,1.586757
0.246,2.12418,1.600082
0.247,2.14589,1.613005
0.248,2.16822,1.625499
0.249,2.19117,1.637537
0.25,2.21474,1.649089
0.251,2.23893,1.660125
0.252,2.26374,1.670614
0.253,2.28915,1.680524
0.254,2.31516,1.689822
0.255,2.34176,1.698473
0.256,2.36894,1.706443
0.257,2.39669,1.713695
0.258,2.42498,1.720192
0.259,2.4538,1.725899
0.26,2.48314,1.730775
0.261,2.51295,1.734786
0.262,2.54323,1.737891
0.263,2.57393,1.740055
0.264,2.60502,1.741239
0.265,2.63647,1.741408
0.266,2.66823,1.740527
0.267,2.70027,1.738562
0.268,2.73253,1.735481
0.269,2.76497,1.731255
0.27,2.79752,1.725857
0.271,2.83014,1.719263
0.272,2.86275,1.711453
0.273,2.89531,1.70241
0.274,2.92773,1.692121
0.275,2.95995,1.68058
0.276,2.99191,1.667782
0.277,3.02352,1.653732
0.278,3.05472,1.638437
0.279,3.08544,1.621911
0.28,3.11559,1.604174
0.281,3.14511,1.58525
0.282,3.17392,1.565173
0.283,3.20196,1.54398
0.284,3.22916,1.521715
0.285,3.25545,1.498425
0.286,3.28078,1.474167
0.287,3.30509,1.448998
0.288,3.32834,1.422982
0.289,3.35046,1.396185
0.29,3.37144,1.368679
0.291,3.39123,1.340536
0.292,3.4098,1.311832
0.293,3.42715,1.282642
0.294,3.44324,1.253043
0.295,3.45807,1.223112
0.296,3.47165,1.192925
0.297,3.48397,1.162557
0.298,3.49505,1.132081
0.299,3.5049,1.101568
0.3,3.51354,1.071086
0.301,3.52099,1.0407
0.302,3.52728,1.010471
0.303,3.53245,0.9804566
0.304,3.53653,0.9507102
0.305,3.53955,0.9212819
0.306,3.54157,0.8922169
0.307,3.54261,0.8635567
0.308,3.54273,0.8353383
0.309,3.54197,0.8075948
0.31,3.54037,0.7803559
